Gene,TCGA-C8-A8HP-01A-11R-A36F-07,TCGA-E9-A5FL-01A-11R-A27Q-07,TCGA-BH-A0WA-01A-11R-A109-07,TCGA-AR-A5QQ-01A-11R-A28M-07,TCGA-A2-A4S1-01A-21R-A266-07,TCGA-AR-A2LR-01A-12R-A18M-07,TCGA-A7-A26G-01A-21R-A169-07,TCGA-BH-A0DL-11A-13R-A115-07,TCGA-BH-A0DL-01A-11R-A115-07,MAX,AVG,MED,MIN
IGF2BP1,29.7737,1250.646,1.3683,2.9806,11.9119,36.8992,11.7732,0.6301,0.6177,1250.646,149.6223,11.7732,0.6177
KERA,7.8991,14.2119,4.105,0,15.3152,16.022,107.8752,12.9175,0.3088,107.8752,19.85052222,12.9175,0
ERLIN2,2298.0404,1228.6822,3756.3809,1842.0268,1304.3478,744.2958,1317.2278,2090.7372,3155.6516,3756.3809,1970.821167,1842.0268,744.2958
WIF1,1.8229,0,5678.8707,1.9871,34.0339,2117.8201,39.1527,401.7013,0.9265,5678.8707,919.5905778,34.0339,0
RHOBTB3,1190.9464,1169.2506,2240.2821,461.997,723.2196,4959.5444,2650.8833,1705.7341,216.8005,4959.5444,1702.073111,1190.9464,216.8005
SIRT2,4898.0708,1144.0568,473.0967,1024.3418,1986.7268,1487.135,1205.5194,960.9326,724.5213,4898.0708,1544.933467,1144.0568,473.0967
MCF2L2,9.801,32.3127,12.096,23.3482,3.4034,37.0643,2.4642,18.2735,14.2773,37.0643,17.00451111,14.2773,2.4642
MRPS27,1030.5332,1386.3049,591.7985,1414.307,979.3244,1077.3597,779.2206,1587.2716,1037.0599,1587.2716,1098.131089,1037.0599,591.7985
DCUN1D4,397.3872,379.199,719.7364,410.3328,1039.7345,964.72,752.6625,1066.7927,747.3749,1066.7927,719.7711111,747.3749,379.199
ZC3H3,1029.9256,1179.5866,357.8157,810.7303,468.8165,408.8043,329.923,287.0195,758.1841,1179.5866,625.6450667,468.8165,287.0195
SUN1,2424.4266,1331.3953,4319.7867,2104.8187,2506.5941,2541.19,2236.6314,3036.2319,2941.9395,4319.7867,2604.779356,2506.5941,1331.3953
PIP5K1C,1428.528,1753.23,934.5627,1365.1267,2351.74,1703.6751,924.0582,1287.6497,825.2007,2351.74,1397.085678,1365.1267,825.2007
TMEFF2,0,9.0439,0,0.4968,0,0.4855,0,1.2602,0,9.0439,1.254044444,0,0
TECPR1,348.7772,79.4574,222.352,255.8371,215.2642,257.8089,154.1466,388.7839,335.0834,388.7839,250.8345222,255.8371,79.4574
VCX,0,1653.1008,0,1.9871,9.3593,0,0,0,8.0296,1653.1008,185.8307556,0,0
GAGE2E,0,899.0891,0,0,0,0,0,0,0,899.0891,99.89878889,0,0
ZBTB11,772.4016,509.1214,774.1374,476.3338,522.2837,814.0984,1065.2323,897.0573,830.6177,1065.2323,740.1426222,774.1374,476.3338
CPNE7,435.6676,98.1912,27.0243,41.7288,37.4373,236.4462,10.4042,17.6434,37.6776,435.6676,104.6911778,37.6776,10.4042
IL17C,1.8229,1.292,5.4733,0,0.8508,0,0.2738,0,4.0148,5.4733,1.525288889,0.8508,0
RBMXL2,0.6076,1454.1344,0,0,0,1.4565,0,0.6301,0.3088,1454.1344,161.9041556,0.3088,0
TMEM97,344.2686,640.7106,571.4481,663.8549,181.3239,1215.4647,801.6882,232.2212,209.2464,1215.4647,540.0251778,571.4481,181.3239
TMEM14A,518.3047,684.1085,1304.0091,489.8162,713.0094,614.6631,310.4835,333.3333,231.9333,1304.0091,577.7401222,518.3047,231.9333
VCX2,0,29.0698,0,0,0,0,0,0,0,29.0698,3.229977778,0,0
VCX3A,0,27021.3178,0,12.916,20.4203,0.971,0,0.3151,8.9561,27021.3178,3007.2107,0.971,0
SNTG1,0,0,0,0.4968,0,0.4855,0,0.9452,0,0.9452,0.214166667,0,0
CRCT1,0.6076,7.1059,0,944.8584,0,0,0,0,3.0883,944.8584,106.1844667,0,0
UGT1A10,0,770.0581,0,11.9324,0,0,6.8723,0,1.3558,770.0581,87.80206667,0,0
LPCAT2,212.669,402.4548,497.7265,803.2787,595.5926,688.947,2328.6266,1735.3497,1636.504,2328.6266,989.0165444,688.947,212.669
RNF220,1128.1604,1214.4315,1056.049,1390.4173,1852.6929,1487.8342,714.0136,1127.0321,1479.0025,1852.6929,1272.1815,1214.4315,714.0136
RPRD1A,797.2049,264.2119,1809.2613,660.2086,393.942,1150.6726,398.0979,1272.2117,1209.6973,1809.2613,883.9453556,797.2049,264.2119
PSENEN,1788.2424,5187.9845,845.6595,992.5484,1151.8421,1034.7071,654.381,623.2168,905.4972,5187.9845,1464.897667,992.5484,623.2168
GSDMB,6559.3195,1070.4134,98.8611,83.9543,61.261,68.4577,34.4982,138.9414,204.1384,6559.3195,924.4272222,98.8611,34.4982
NXF2,0,451.9574,0,0,0,0,0,0,0,451.9574,50.21748889,0,0
IFNK,0,0,0,24.3418,0,0,0,0.3151,0.3088,24.3418,2.773966667,0,0
FSTL5,0,0,0,0,15.3152,3.3986,0.2738,0,0,15.3152,2.109733333,0,0
FAM20C,1561.5981,953.4884,1390.5553,2467.9583,21038.8837,1020.5543,718.9857,1373.0309,2688.6967,21038.8837,3690.416822,1390.5553,718.9857
RPGRIP1,10.9373,0,5.8154,2.9806,15.3152,7.2827,7.9401,11.9723,16.3681,16.3681,8.734633333,7.9401,0
RAB25,1841.1059,3810.0775,1633.4322,919.5231,0,138.8575,960.1991,937.9332,3850.8338,3850.8338,1565.773589,960.1991,0
SMIM8,58.6663,163.4367,135.9631,95.8768,84.9826,148.4659,135.66,101.736,11.6955,163.4367,104.0536556,101.736,11.6955
ATP10D,109.9803,164.0827,400.9178,607.5509,1039.7345,667.5843,904.3449,827.3472,820.8771,1039.7345,615.8244111,667.5843,109.9803
ERGIC1,6584.8397,2569.1214,3621.9434,2823.6463,7986.0461,2594.5967,3106.2044,3640.2016,2911.365,7986.0461,3981.996067,3106.2044,2569.1214
DSCAML1,82.6371,7.7519,0,6.458,0.8508,10.1958,2.1904,12.2873,2.4707,82.6371,13.87133333,6.458,0
REXO1,906.5775,896.6408,316.424,964.7293,627.0739,343.2597,209.727,505.041,497.2205,964.7293,585.1881889,505.041,209.727
TAOK1,44.3567,126.615,746.0766,72.0318,28.9288,681.1787,961.2943,921.5501,244.5954,961.2943,425.1808222,244.5954,28.9288
SH2D4A,207.808,127.261,85.52,180.3279,91.8914,148.0823,81.5909,267.1708,297.7146,297.7146,165.2629889,148.0823,81.5909
PRDM14,0,0,0,0,0,66.0302,0,0,0,66.0302,7.336688889,0,0
PBLD,656.2358,217.0543,155.9885,58.619,118.2677,40.7833,167.5625,202.5835,110.2532,656.2358,191.9275333,155.9885,40.7833
TNMD,2.4305,51.6796,15.0515,0,4.2542,26.2179,15.6063,268.431,1.2353,268.431,42.76736667,15.0515,0
IKZF4,194.4402,96.8992,135.1216,122.2057,80.8304,165.5609,341.4224,304.3478,157.8135,341.4224,177.6268556,157.8135,80.8304
SPANXC,0,293.9276,0,65.077,2.5525,0,0.2738,0,0,293.9276,40.20343333,0,0
ZNF574,641.0451,974.1602,537.7498,402.3845,308.8573,722.4476,349.91,427.8513,344.3484,974.1602,523.1949111,427.8513,308.8573
DCLRE1B,280.1154,151.8088,362.2628,432.1908,218.6676,609.8079,448.2024,247.9521,551.8839,609.8079,366.9879667,362.2628,151.8088
RAPH1,1001.3672,523.9018,2558.0745,276.7014,2040.3301,1031.7212,3304.432,1812.5394,984.2495,3304.432,1503.7019,1031.7212,276.7014
MTMR9,132.4199,620.0904,186.4336,254.3169,402.3568,301.9714,406.2406,595.0914,183.4404,620.0904,342.4846,301.9714,132.4199
DBNDD1,2751.9368,1149.8708,1179.492,89.9155,16.1661,235.9607,273.5212,249.5274,570.105,2751.9368,724.0550556,273.5212,16.1661
GGCT,3989.0627,2114.3411,1606.7499,1944.3616,462.0097,1245.8337,2569.0186,853.1821,2376.467,3989.0627,1906.780711,1944.3616,462.0097
HMBOX1,32.8118,24.5478,64.6531,35.7675,109.7592,78.6536,115.5415,212.3503,109.3267,212.3503,87.04572222,78.6536,24.5478
ANKRD55,3.0381,0,3.7629,13.4128,0.8508,0.971,3.8331,8.1916,4.6325,13.4128,4.2992,3.7629,0
BBS10,144.0073,204.1344,678.6868,201.689,157.4066,332.5784,586.7427,660.6805,273.008,678.6868,359.8815222,273.008,144.0073
SLTM,1365.9426,1116.9251,1976.1964,1446.1003,1791.8829,1803.2059,1353.0949,2350.6616,2704.4472,2704.4472,1767.606322,1791.8829,1116.9251
NEK11,295.9137,212.5323,242.1927,69.5479,46.7966,149.5389,80.7695,291.1153,235.0216,295.9137,180.3809444,212.5323,46.7966
RPF1,610.0562,594.3152,505.9364,1140.0894,581.1282,757.4047,522.9485,551.3548,964.1754,1140.0894,691.9343111,594.3152,505.9364
SLC2A10,1715.3274,282.2997,1130.9166,205.6632,2025.8657,586.9887,1114.6195,713.2955,85.8555,2025.8657,873.4257556,713.2955,85.8555
SPATA16,0,1.292,0,0,0,0.4855,0.8214,0,0,1.292,0.288766667,0,0
EVA1A,46.1796,111.1111,293.1626,709.8857,638.9858,846.7396,187.5496,109.9559,50.9574,846.7396,332.7252556,187.5496,46.1796
NLRC5,1152.666,960.5943,558.2746,1366.617,1054.1989,333.5494,662.0363,1103.6547,3212.7857,3212.7857,1156.041878,1054.1989,333.5494
CAPNS2,4.2534,778.4238,1.7104,43.2191,4.2542,0.971,7.9401,1.8904,2109.0179,2109.0179,327.9644778,4.2542,0.971
PRAC1,0,0,0,0,0,0.4855,0,0,0,0.4855,0.053944444,0,0
COL25A1,4.2534,7.1059,20.1827,0,5.9559,81.5667,11.4994,68.683,6.7943,81.5667,22.89347778,7.1059,0
LCE3D,0,0,0,254.8435,0,0.971,0,0,14.5151,254.8435,30.03662222,0,0
TMEM25,820.2947,246.124,386.5504,303.5271,54.4542,253.4393,795.9221,707.6244,619.5182,820.2947,465.2727111,386.5504,54.4542
MAEL,0,68.4755,0.3421,0.4968,1386.0291,0.4855,178.7881,0.6301,0.6177,1386.0291,181.7627667,0.6177,0
ATCAY,0,0.646,0.3421,1.9871,0.8508,80.1101,0.8214,1.5753,0,80.1101,9.592533333,0.8214,0
KBTBD6,297.7366,432.8165,358.4999,134.1282,246.7455,681.1787,715.4264,789.8551,108.0914,789.8551,418.2753667,358.4999,108.0914
TMEM116,331.156,186.0465,215.8525,96.3736,77.427,110.2121,182.6213,210.46,203.8295,331.156,179.3309444,186.0465,77.427
TICRR,130.4633,260.4134,546.0453,330.6905,83.2553,717.1894,271.0625,49.4014,496.0469,717.1894,320.5075556,271.0625,49.4014
ZNF486,20.0516,44.5736,40.0234,78.9866,12.7627,9.2248,145.3852,113.1065,210.0062,210.0062,74.90228889,44.5736,9.2248
IGSF8,4284.3688,1167.9587,841.1748,1826.1302,2771.2074,2203.7564,629.4547,791.4304,779.1847,4284.3688,1699.407344,1167.9587,629.4547
ORMDL3,98561.75,2136.3049,1059.0798,1283.6562,1192.0361,1286.1315,888.7386,2496.5343,1162.7548,98561.75,12229.66513,1283.6562,888.7386
OSBPL5,1633.2979,470.2842,653.7149,758.5693,2459.7975,714.1938,369.3495,730.3088,219.58,2459.7975,889.8995444,714.1938,219.58
ART5,3.6458,11.6279,28.0506,1.4903,4.2542,8.2538,13.416,24.8897,1.2353,28.0506,10.76262222,8.2538,1.2353
OR8I2,0,0,0,0,0,0,0,0,0,0,0,0,0
C14orf28,67.4465,27.7778,56.7853,87.9285,79.1287,54.3778,81.5909,189.666,71.958,189.666,79.62883333,71.958,27.7778
GGT6,473.948,668.6047,288.3735,49.1803,0,41.2688,37.7837,473.85,767.7579,767.7579,311.1963222,288.3735,0
OR14C36,0,0,0,0,0,0,0,0,0,0,0,0,0
FITM2,46.7872,91.0853,35.2342,28.3159,39.9898,42.7254,80.7695,74.9842,59.2959,91.0853,55.46526667,46.7872,28.3159
CST9L,0,0,0,0,0,0,0,0.9452,0.3088,0.9452,0.139333333,0,0
BPIFB6,12.1525,0,0,0,0,0,0,0,0,12.1525,1.350277778,0,0
FAM83C,1.2153,1707.3643,1.7104,24.3418,0,0,0.2738,0,700.4324,1707.3643,270.5931111,1.2153,0
TMEM182,76.5608,36.1757,162.1459,55.6384,91.8914,91.277,243.13,115.3119,154.4163,243.13,114.0608222,91.8914,36.1757
PDCL2,0,9.0439,0.6842,0,0,0.4855,0,0,0.3088,9.0439,1.169155556,0,0
PRSS37,0,0,0,0,0,0,0,1.8904,0.3088,1.8904,0.244355556,0,0
ISM1,100.8659,240.9561,1643.3525,94.8833,93.5931,589.4162,523.7699,1445.1796,18.8388,1643.3525,527.8728222,240.9561,18.8388
SLC34A3,84.46,14.2119,2.3946,4.4709,0,0.971,1.9166,2.5205,0.6177,84.46,12.39591111,2.3946,0
HNRNPA1L2,1468.0237,2209.9483,1356.3473,2536.5127,992.0871,4100.6669,1744.8956,2362.3188,1676.3434,4100.6669,2049.682644,1744.8956,992.0871
SLC47A2,0,697.0284,1.7104,3.4774,5.9559,8.2538,0.5476,9.7669,7.7208,697.0284,81.6068,5.9559,0
BPIFB4,3.0381,1.938,0,0,3.4034,0.4855,16.9753,0,0,16.9753,2.871144444,0.4855,0
SIK1,522.5581,1546.5116,749.1553,9773.4724,589.6367,1583.2672,788.8034,1014.8078,1708.1532,9773.4724,2030.7073,1014.8078,522.5581
CCDC117,503.7217,569.7674,1337.875,373.075,477.3249,1045.3156,1607.1767,1068.0529,1012.3533,1607.1767,888.2958333,1012.3533,373.075
SLC36A2,0,0.646,2.0525,0,536.8842,0,0,0.6301,0,536.8842,60.02364444,0,0
MOSPD2,119.7023,93.6693,218.9312,234.9727,154.8541,175.2712,434.7865,323.8815,218.0358,434.7865,219.3449556,218.0358,93.6693
FITM1,10.3296,10.9819,0.3421,3.9742,10.2102,2.9131,1.9166,5.356,3.706,10.9819,5.525522222,3.9742,0.3421
PHOSPHO1,6.6839,1.292,6.4995,6.458,1188.6327,3.3986,1.9166,9.7669,4.0148,1188.6327,136.5181111,6.458,1.292
LIX1,1.2153,1.938,37.6288,1.9871,2.5525,3038.8437,5.7497,0.3151,0.3088,3038.8437,343.3932222,1.9871,0.3088
PRSS35,7.8991,1.292,21.209,1.4903,7642.3041,159.7347,11.7732,19.2187,0.6177,7642.3041,873.9487556,11.7732,0.6177
XAGE3,0,343.6693,0,0,0,0,0,0.9452,0,343.6693,38.2905,0,0
XAGE5,0,58.7855,0,0,0,0,0,0,0,58.7855,6.531722222,0,0
SPANXC,0,2.584,0,79.9801,2.5525,0,0,0,0,79.9801,9.4574,0,0
KRT24,2051.3444,0.646,0,0,0,0,0,0.3151,0,2051.3444,228.0339444,0,0
APOBEC3A,19.8329,21.4406,63.2198,414.307,11.2822,24.8196,4.9283,3.7807,169.7776,414.307,81.48763333,21.4406,3.7807
PLD6,76.5608,84.6253,127.2538,36.7611,24.6746,892.8636,131.9692,98.6137,53.1192,892.8636,169.6045889,84.6253,24.6746
OR9I1,0,0,0,0,0,0,0,0,0,0,0,0,0
OR9Q2,0,0,0,0,0,0,0,0,0,0,0,0,0
TDRD6,6.6839,7.7519,7.8678,8.4451,4.2542,40.2978,19.4394,57.0258,6.7943,57.0258,17.6178,7.8678,4.2542
LEMD2,1630.2598,1021.9638,1192.491,1593.1446,1756.9982,1327.4003,778.673,771.8967,980.5435,1756.9982,1228.152322,1192.491,771.8967
GPRC6A,0,0.646,0,0.9935,0,0,0.2738,0,0,0.9935,0.212588889,0,0
EPHX4,34.6347,10.3359,66.3635,66.5673,12.7627,143.2272,227.5237,27.7253,3.706,227.5237,65.87181111,34.6347,3.706
GPX6,0,0,0,0,0,54.8633,0,0,0,54.8633,6.095922222,0,0
C17orf58,177.4267,454.1344,272.6378,220.5663,191.4405,251.0117,287.4848,528.0403,185.9172,528.0403,285.4066333,251.0117,177.4267
RNF175,6.6839,6.4599,6.8416,10.4322,23.8237,120.8934,13.6898,49.1493,51.2662,120.8934,32.13777778,13.6898,6.4599
LCN12,62.5854,23.2558,3.4208,3.9742,5.9559,2.4276,3.2855,4.7259,12.971,62.5854,13.62245556,4.7259,2.4276
P2RY8,197.4784,36.8217,72.521,229.0114,83.383,68.9433,247.2369,155.9546,144.2248,247.2369,137.2861222,144.2248,36.8217
KRTAP11-1,0,0,0,14.4064,1.7017,0,0,0,0,14.4064,1.789788889,0,0
KRTAP19-1,0,0,0,2.4839,0,0,0,0,0.6177,2.4839,0.344622222,0,0
S100A7A,324.4721,0.646,0,385.4943,0,0,0,14.1777,52936.0716,52936.0716,5962.317967,0.646,0
HEPHL1,6.6839,57.6809,9.2362,2059.1356,0.8679,2.5101,2.2013,5.041,772.6992,2059.1356,324.0062333,6.6839,0.8679
COX8C,0,0,1.0262,0,0.8508,0,0,0.3151,67.3255,67.3255,7.724177778,0,0
PAQR9,0,8.3979,1.0262,0,0.8508,2.9131,0,1.2602,0,8.3979,1.605355556,0.8508,0
LCE2A,0,0,0,7.9483,0,0,0,0,0.3088,7.9483,0.917455556,0,0
LCE3E,0,0,0,101.8381,0,0.4855,0,0,11.118,101.8381,12.60462222,0,0
IQCF2,0,7.7519,0,0,0,0,0,0,0,7.7519,0.861322222,0,0
OR5D13,0,0,0,0,0,0,0,0,0,0,0,0,0
OR5D16,0,0,0,0,0,0,0,0,0,0,0,0,0
XKRX,11.5449,11.6279,25.3139,9.4386,3.4034,9.7103,4.1069,4.4108,124.1507,124.1507,22.63415556,9.7103,3.4034
IGLON5,7.2915,16.7959,0,3.9742,2.5525,352.4845,1.369,6.6163,3.706,352.4845,43.86554444,3.9742,0
VCX3B,0,740.3101,0,2.4839,0.8508,0,0,0,0,740.3101,82.6272,0,0
PLIN5,30.3813,91.0853,0,4.9677,0,33.5006,49.2831,183.995,19.1476,183.995,45.81784444,30.3813,0
KPRP,0,5.814,0,35.7675,0,0,0,0,15.7505,35.7675,6.370222222,0,0
GAGE10,0,25.1938,0,0,0,0,0,0.3151,0,25.1938,2.834322222,0,0
NKX2-4,0,41.3437,0,0,0,0,0,0,0,41.3437,4.593744444,0,0
GAGE13,0,703.4561,0,0,0,0,0,0,0,703.4561,78.16178889,0,0
MROH1,1124.1075,558.7855,657.4778,791.3562,778.5246,348.1149,512.5443,612.1613,786.5967,1124.1075,685.5187556,657.4778,348.1149
NUTM2A,42.5338,19.3798,31.1293,19.3741,13.6135,27.6744,12.8684,54.8204,38.6041,54.8204,28.88864444,27.6744,12.8684
NXF2,0,2.177,0,0,0,0,0,0,0,2.177,0.241888889,0,0
ZNF705D,0,13.5659,0,0,0,0,1.0952,0.3151,0,13.5659,1.664022222,0,0
GAGE12J,0,3477.0736,0,0,0,0,0,0,0,3477.0736,386.3415111,0,0
GAGE12J,0,929.4961,0,0,0,0,0,0,0,929.4961,103.2773444,0,0
GAGE2A,0,3241.6279,0,2.4839,0,0,0,0,0,3241.6279,360.4568667,0,0
GAGE12J,0,0.7817,0,0,0,0,0,0,0,0.7817,0.086855556,0,0
GAGE2E,0,1768.6499,0,0.4968,1.7017,0,0,0,0,1768.6499,196.7609333,0,0
GAGE12J,0,17969.0439,0,0,2.5525,0,0,0,0,17969.0439,1996.844044,0,0