Gene,TCGA-GS-A9TZ-01A-11R-A39D-07,TCGA-GS-A9TW-01A-11R-A38C-07,TCGA-FF-8042-01A-11R-2213-07,TCGA-FA-A6HN-01A-11R-A31O-07,TCGA-FA-A7Q1-01A-11R-A38C-07,TCGA-FF-A7CR-01A-11R-A38C-07,TCGA-GS-A9TY-01A-11R-A39D-07,TCGA-GS-A9TQ-01A-11R-A38C-07,TCGA-FF-A7CQ-01A-11R-A38C-07,TCGA-FA-A4BB-01A-11R-A31O-07,MAX,AVG,MED,MIN
ADCY1,36.5951,6044.0148,5.0879,129.7297,10.6877,47.7474,6.6619,10.8736,39.2857,16.8006,6044.0148,634.74844,26.69785,5.0879
ADRA1B,1.1933,1.2341,0.5653,16.2162,2.7881,0.3851,987.8588,0,0.3571,46.019,987.8588,105.6617,1.2137,0
ALK,2.3866,1.2341,0,0,0.4647,0.7701,353.0786,12.7484,1.0714,0,353.0786,37.17539,0.92075,0
BRAF,165.8711,129.165,69.5349,112.0393,109.6654,164.0354,67.5703,103.862,153.9286,91.3075,165.8711,116.69795,110.85235,67.5703
BSG,6476.5314,7558.6179,8107.8866,10798.5258,8330.855,4394.6862,9517.8954,6770.1537,5176.7857,10916.7275,10916.7275,7804.86652,7833.25225,4394.6862
BTF3,10898.568,16450.8433,13683.6839,11676.1671,26333.1784,10279.9384,23366.9519,24559.0551,10614.2857,13201.607,26333.1784,16106.42788,13442.64545,10279.9384
DDR1,449.0851,707.5278,94.4092,311.0565,1754.1822,95.1097,23.7924,27.3716,289.6429,213.2944,1754.1822,396.54718,251.46865,23.7924
CACNB2,8.751,9.4611,7.3492,12.7764,16.7286,238.3519,3.8068,12.7484,12.8571,8.0351,238.3519,33.08656,11.10475,3.8068
SIGLEC6,0.3978,2.8795,0.5653,176.9042,0.4647,269.5418,0,0.375,0,3.6523,269.5418,45.47806,0.515,0
CHRNB1,131.9769,108.3422,191.6451,171.9902,190.9851,130.9203,103.7347,90.7387,94.2857,168.7363,191.6451,138.33552,131.4486,90.7387
CST1,1.9889,3.7022,172.424,0.4914,9.7584,1.1552,74.2322,62.9921,0,38.7144,172.424,36.54588,6.7303,0
CTAG1A,0.3978,0,0,476.1671,0.4647,231.4209,0,0,0.7143,772.8269,772.8269,148.19917,0.43125,0
CTSS,22178.5998,11705.0596,9468.6231,5709.5823,6047.8625,20907.5857,4204.5857,8805.0244,8718.2143,14531.775,22178.5998,11227.69124,9136.82375,4204.5857
CYP51A1,402.5457,276.4295,1781.9034,395.086,1201.6729,1013.092,1196.2798,2556.0555,583.9286,769.905,2556.0555,1017.68984,891.4985,276.4295
DCC,182.9753,13.5747,0.5653,0.4914,0,0.3851,0,0,4.6429,0.7305,182.9753,20.33652,0.52835,0
DDB1,6333.3333,4972.8507,5694.5155,4563.6364,6197.4907,5852.9072,4562.4228,11241.8448,8364.2857,4410.5186,11241.8448,6219.38057,5773.71135,4410.5186
DHCR24,1185.362,1521.5961,1212.0561,1032.9238,502.7881,1441.2784,862.2351,2304.8369,1323.9286,859.7516,2304.8369,1224.67567,1198.70905,502.7881
EGFR,162.2912,48.1283,2.8266,45.2088,57.1561,49.2876,10.4686,14.6232,24.2857,26.2966,162.2912,44.05727,35.7527,2.8266
ELAVL2,264.1209,1.2341,0,0.4914,0,0.3851,0,0,0,0,264.1209,26.62315,0,0
ELK1,1480.1114,1766.7626,392.9007,1216.7076,1509.7584,886.7925,839.3944,827.8965,1029.2857,653.7619,1766.7626,1060.33717,958.0391,392.9007
ESD,1042.9594,2308.1037,1844.0891,1576.4128,1497.2119,2148.633,2741.8315,4682.0397,3078.5714,1448.5026,4682.0397,2236.83551,1996.36105,1042.9594
ESRRB,1.5911,0.4114,0,0.9828,0.4647,1.5402,2.8551,0,0,5.1132,5.1132,1.29585,0.72375,0
F12,48.926,6.993,208.0395,52.0885,157.0632,10.3966,34.261,16.4979,102.5,59.1673,208.0395,69.5933,50.50725,6.993
FCGR1A,452.2593,430.6787,364.6344,170.0246,23.6803,1772.784,104.6864,284.5857,944.95,466.0336,1772.784,501.4317,397.65655,23.6803
FCGR1A,376.6905,368.5726,271.3558,190.172,25.5576,1361.9561,83.7491,234.3457,973.2143,404.6749,1361.9561,429.02886,319.9642,25.5576
FGD1,84.7255,118.8811,19.7864,75.1843,99.4424,57.3739,31.4059,46.8691,53.5714,70.1242,118.8811,65.73642,63.74905,19.7864
FGFR1,879.0772,1983.9572,529.7092,1218.1818,957.2491,313.4386,678.5581,451.0686,1110,973.7034,1983.9572,909.49432,918.16315,313.4386
FGFR3,3.58,9.0498,1.1306,12.7764,5.1115,4.6207,3.8068,3.7495,7.1429,14.6092,14.6092,6.55774,4.8661,1.1306
FGFR2,3.9777,3.2908,1.1306,28.0098,13.9405,1.1552,67.5703,22.1222,2.1429,94.2294,94.2294,23.75694,8.9591,1.1306
FGFR4,44.9483,18.5109,0.5653,22.113,90.1487,43.1267,64.7152,28.8714,15,22.6443,90.1487,35.06438,25.75785,0.5653
FOXS1,6.7621,90.0864,32.2235,89.9263,37.1747,15.7874,53.2949,16.8729,3.2143,242.5128,242.5128,58.78553,34.6991,3.2143
FLG,6.0939,2.4681,5.0879,4.0098,3.2528,0.9819,0,0,34.1286,0.7524,34.1286,5.67754,2.86045,0
FLT1,309.467,615.796,98.9318,266.3391,118.9591,350.4043,113.2516,205.8493,350.3571,325.7852,615.796,275.51405,287.90305,98.9318
FLT3,52.1082,14.8087,7.3492,196.5602,2.7881,48.9026,15.2271,4.4994,80.7143,108.1081,196.5602,53.10659,32.06485,2.7881
FLT4,147.1758,415.4669,43.53,159.7052,53.4387,131.6904,90.411,84.7394,89.6429,119.7955,415.4669,133.55958,105.10325,43.53
GALK1,518.2975,487.8651,1640.5722,457.0025,520.4461,347.3238,1623.5906,443.9445,495.7143,365.2301,1640.5722,689.99867,491.7897,347.3238
GGT1,504.3755,824.3521,305.8407,1175.43,510.223,417.0196,650.959,284.5894,375.3571,423.6669,1175.43,547.18133,464.0212,284.5894
B4GALT1,6248.21,4448.7865,3246.6596,2180.8354,2488.3829,6020.7932,1097.3036,1475.8155,4806.4286,2521.5486,6248.21,3453.47639,2884.1041,1097.3036
HLA-DMA,7482.1002,2651.5837,20022.6695,16369.0418,12898.6989,8505.5834,7531.7093,18998.5002,1617.5,8754.5654,20022.6695,10483.19524,8630.0744,1617.5
HOXD1,3.9777,5.3476,1.1306,84.0295,8.3643,3.0805,0.9517,1.1249,1.4286,4.3828,84.0295,11.38182,3.5291,0.9517
IL15RA,671.0422,1027.1493,812.3716,735.6265,282.0632,859.0682,413.0354,439.4451,673.5714,881.6654,1027.1493,679.50383,704.59895,282.0632
IL17A,0,0,0,0,0,0,0,0,0,537.6187,537.6187,53.76187,0,0
INSL3,43.755,52.2419,6.2186,32.4324,13.0112,11.5518,218.8897,2.9996,27.1429,153.3966,218.8897,56.16397,29.78765,2.9996
JAK1,6040.175,4047.3056,2009.7292,6460.9337,6327.1375,10181.7482,4953.5692,3189.3513,5749.6429,6690.2849,10181.7482,5564.98775,5894.90895,2009.7292
JAK2,3595.0676,2591.1148,414.383,1151.3514,545.539,2008.4713,181.7736,347.5816,1910,1051.1322,3595.0676,1379.64145,1101.2418,181.7736
KDR,167.4622,358.7001,88.1907,176.9042,171.0037,301.1167,98.9762,182.2272,263.9286,188.4587,358.7001,199.69683,179.5657,88.1907
KIR2DL1,0,2.209,1.4642,268.0147,0.6459,0.7701,1.9034,0,0.5429,12.6662,268.0147,28.82164,1.11715,0
KIR2DL3,2.3866,1.4932,1.9278,836.1622,0.2835,1.1552,0,1.1249,2.6714,48.6925,836.1622,89.58973,1.7105,0
KIT,130.8671,51.0078,5.6532,28.9926,10.6877,36.9657,0.9517,2.9996,10,10.2264,130.8671,28.83518,10.45705,0.9517
KRT6B,0,0,0,0.4914,0.4647,0,3.8068,0,4.6429,0.7305,4.6429,1.01363,0.23235,0
LAMB1,1261.3365,3755.2448,908.4768,657.9853,1360.5948,1048.9026,827.0224,933.2583,990,745.0694,3755.2448,1248.78909,961.62915,657.9853
LGALS3,3001.5911,3467.2974,3133.5947,3687.4693,1953.5316,2378.5137,5167.7004,2091.1136,1533.5714,5906.5011,5906.5011,3232.08843,3067.5929,1533.5714
LIMK1,4086.7144,3822.2954,3026.7483,4696.3145,2171.4684,2321.5248,1251.4781,1815.898,2381.4286,2283.4186,4696.3145,2785.72891,2351.4767,1251.4781
LOXL1,490.4535,635.1296,530.8399,449.6314,802.0446,420.1001,634.7801,433.4458,278.2143,706.355,802.0446,538.09943,510.6467,278.2143
LY9,211.2172,390.7857,14.1331,934.6437,1348.0483,185.9838,284.5566,776.9029,84.2857,790.3579,1348.0483,502.09149,337.67115,14.1331
MAGEA4,0.3978,0,0,1028.5012,0,0,0,0,0,0,1028.5012,102.8899,0,0
MAGEB1,0,0.4114,0.5653,0,382.4349,78.1671,0,0,1105.3571,0,1105.3571,156.69358,0.2057,0
MC1R,189.5147,121.5385,89.7736,206.9042,525.223,34.6554,80.894,164.5369,36.6179,225.6392,525.223,167.52974,143.0377,34.6554
MET,49.3238,294.1176,15.2638,339.5577,655.6691,77.0119,334.9964,15.3731,254.2857,420.7451,655.6691,245.63442,274.20165,15.2638
MMP15,64.0414,44.8375,205.2129,140.0491,121.7472,41.5864,433.0209,60.7424,63.9286,228.634,433.0209,140.38004,92.8943,41.5864
MOV10,615.7518,590.2921,1035.6748,1008.3538,703.5316,951.0974,221.7448,446.9441,834.2857,529.5836,1035.6748,693.72597,659.6417,221.7448
MT1G,559.6659,1246.812,330.1496,8.3538,1.3941,6894.8787,59.0051,21.3723,478.9286,72.3156,6894.8787,967.28757,201.2326,1.3941
MT1H,276.8496,734.6771,113.0649,0.4914,0,3223.7197,13.3237,2.6247,221.7857,18.2615,3223.7197,460.47983,65.6632,0
MYT1,0.3978,2.4681,1.1306,4.914,5.5762,254.9095,0,2.6247,0.3571,5.1132,254.9095,27.74912,2.5464,0
NFE2L1,5343.6754,4600.5759,2629.8904,4479.6069,5518.5874,4605.3138,2963.5763,2115.1106,5058.5714,3663.9883,5518.5874,4097.88964,4540.0914,2115.1106
NKG7,2814.638,5705.8824,4499.9845,2264.3735,171.9331,5668.4636,1228.6374,1196.8504,4895.3571,3190.6501,5705.8824,3163.67701,3002.64405,171.9331
NKX3-1,24.6619,25.5039,6.7839,46.683,19.5167,45.437,166.5465,8.9989,3.5714,125.6392,166.5465,47.33424,25.0829,3.5714
NOTCH4,292.3628,204.0313,133.4166,171.4988,324.3494,149.4032,172.2567,143.607,201.4286,181.1541,324.3494,197.35085,176.7054,133.4166
NRAS,2679.3954,2410.1193,1105.2097,2095.8231,1028.3457,2407.0081,1974.7658,1715.4106,2169.2857,1451.4244,2679.3954,1903.67878,2035.29445,1028.3457
NTRK1,4.7733,13.986,0,2.457,1.3941,3.0805,1.9034,5.2493,5.3571,4.3828,13.986,4.25835,3.73165,0
NTRK3,14.3198,1.6454,3.3919,3.9312,0,14.6323,9.5169,4.4994,0.7143,18.992,18.992,7.16432,4.2153,0
SLC22A18,184.5664,205.6767,230.6525,149.8771,197.026,186.7539,292.1702,82.1147,160.3571,167.2754,292.1702,185.647,185.66015,82.1147
PCSK2,0,0,0,0,0,0,0,0,21.7857,0,21.7857,2.17857,0,0
PDGFRA,305.9586,1152.8178,471.3225,481.4447,502.0771,215.1675,347.5873,366.4979,318.2571,430.0438,1152.8178,459.11743,398.27085,215.1675
PDGFRB,1776.8496,4590.7034,625.8144,1448.1572,1114.3123,1151.3285,804.1817,646.0442,887.5,1089.8466,4590.7034,1413.47379,1102.07945,625.8144
SERPINB10,0,1130.8104,0,0,0,0.3851,0,0,0,0,1130.8104,113.11955,0,0
POLR2C,1419.2522,1136.9807,942.9616,1221.1302,1502.7881,1270.697,1127.7578,1236.2205,1064.2857,1213.2944,1502.7881,1213.53682,1217.2123,942.9616
PRB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAP2K1,3530.1392,2016.2279,1162.9294,1111.6708,2241.6125,1291.3131,452.9114,1516.3555,1547.3929,1525.0329,3530.1392,1639.55856,1520.6942,452.9114
MAP2K2,2906.5235,4879.0621,4910.9755,4932.1867,1969.7955,1804.7747,6617.131,4007.1241,2715.7143,3555.1497,6617.131,3829.84371,3781.1369,1804.7747
PRPSAP1,496.8178,564.3768,812.9369,573.9558,1102.2305,693.4925,1061.1392,704.162,1049.6429,491.5997,1102.2305,755.03541,698.82725,491.5997
PTK6,54.0971,15.6314,15.2638,148.8943,151.487,39.2761,24.7441,13.4983,26.0714,10.9569,151.487,49.99204,25.40775,10.9569
RAF1,1538.1862,2027.1493,1648.4868,1961.6708,1731.8773,2140.5468,1159.1637,1514.4357,1937.5,1857.5603,2140.5468,1751.65769,1794.7188,1159.1637
RET,17.1042,17.6882,5.6532,26.0442,3.2528,14.2472,17.1305,4.4994,27.1429,13.8787,27.1429,14.66413,15.6757,3.2528
RGS10,1713.206,1276.8408,3480.1387,2406.8796,1630.1115,1625.3369,2949.3009,2477.6903,1841.4286,4536.1578,4536.1578,2393.70911,2124.1541,1276.8408
RGS13,3.58,6403.949,1701.6273,13.2678,2025.0929,2756.6423,1162.0188,2620.1725,315.7143,5821.7677,6403.949,2282.38326,1863.3601,3.58
S100A11,3175.8154,3187.5771,3603.9448,3714.9877,3042.7509,4005.3908,5141.053,2313.0859,2455,6714.3901,6714.3901,3735.39957,3395.76095,2313.0859
SCD,3457.0406,1290.0041,4390.3115,705.6511,856.8773,6830.1887,929.8054,5138.7327,1640.7143,1768.4441,6830.1887,2700.77698,1704.5792,705.6511
CCL17,25003.1822,3013.986,3.9573,819.656,19.052,3.0805,64.7152,6.3742,10.3571,109.569,25003.1822,2905.39295,41.8836,3.0805
SH3GL2,0.3978,8.6384,24.8743,1090.9091,0.4647,1.5402,0,0.375,1.0714,0,1090.9091,112.82709,0.76805,0
SIM1,0.3978,103.2497,26.5703,0,0,0,0,0,0.7143,0,103.2497,13.09321,0,0
SLC9A2,1.9889,2.8795,0,7.371,1.8587,7.7012,0.9517,0,12.5,1.4609,12.5,3.67119,1.9238,0
SLC12A3,907.319,341.0119,300.1874,45.2088,380.5762,96.65,320.721,32.246,203.5714,50.4018,907.319,267.78935,251.8794,32.246
SLCO1A2,1.5911,0,0.5653,196.0688,52.974,0.3851,0.9517,0,0,11.6874,196.0688,26.42234,0.7585,0
ST14,4361.5752,1808.3093,9245.8851,140.5405,11051.1152,1982.6723,8533.8434,8957.2553,445.7143,731.9211,11051.1152,4725.88317,3172.12375,140.5405
SURF2,394.5903,359.1115,798.2384,441.769,340.6134,231.0358,1767.2965,321.3348,507.8571,598.2469,1767.2965,576.00937,418.17965,231.0358
TEK,48.5282,62.9371,13.0025,57.0025,59.0149,41.2014,15.2271,51.3686,63.9286,56.9759,63.9286,46.91868,54.17225,13.0025
TERT,12.3309,31.6742,295.6648,11.7936,217.9368,45.437,11.4203,450.6937,52.5,36.523,450.6937,116.59743,40.98,11.4203
TOP2A,3763.7232,4631.4274,1422.3569,3373.9558,7963.29,5167.1159,5120.1157,8813.2733,8803.5714,1904.3097,8813.2733,5096.31393,4875.77155,1422.3569
TOP2B,2428.7987,3508.0214,2525.8707,2850.6143,4689.1264,2872.5452,1512.2424,3870.6412,2486.7857,1944.485,4689.1264,2868.9131,2688.2425,1512.2424
TP53,2322.9912,2499.7943,2290.1303,1877.1499,7425.1859,2007.3161,3338.5439,4671.1661,3482.1429,2718.7728,7425.1859,3263.31934,2609.28355,1877.1499
TRPC1,15.1154,74.8663,5.6532,83.0467,24.6283,128.6099,57.1017,72.7409,7.5,54.7845,128.6099,52.40469,55.9431,5.6532
TTR,0,0,0,0,0.4647,0,0,0,221.0714,0,221.0714,22.15361,0,0
VEGFA,307.8759,1555.327,300.7527,554.2998,168.2156,544.0893,350.2235,754.4057,745.7143,657.4142,1555.327,593.8318,549.19455,168.2156
ZNF43,170.2466,154.2575,22.0477,338.5749,354.5539,326.5306,154.1745,158.2302,68.5714,138.7874,354.5539,188.59747,156.24385,22.0477
ZNF217,1723.5481,1789.3871,188.8184,2063.8821,1294.6097,1318.4444,572.92,817.0229,1452.5,1271.7312,2063.8821,1249.28639,1306.52705,188.8184
SLC25A16,190.1352,192.102,136.2432,343.9803,267.658,229.8806,97.0728,244.0945,183.9286,317.0197,343.9803,220.21149,210.9913,97.0728
TRRAP,3960.3819,2014.0518,1148.5702,2967.8428,3099.0567,2584.7208,838.1287,3580.225,2938.3536,2023.5793,3960.3819,2515.49108,2761.5372,838.1287
ANXA9,8.3532,7.8157,4.5226,84.5209,7.8996,5.3908,6.6619,13.1234,2.5,22.6443,84.5209,16.34324,7.85765,2.5
OFD1,2118.934,1208.5561,496.9204,841.769,1776.0223,780.901,784.1962,622.0472,531.0714,699.7809,2118.934,986.01985,782.5486,496.9204
MARCO,607.3986,1185.109,978.0117,23.0958,0.9294,6497.8822,73.2805,1175.1031,3329.6429,183.3455,6497.8822,1405.37987,792.70515,0.9294
TNFRSF14,4658.2299,3634.0313,5910.4413,7779.43,690.0046,2694.8055,3123.2896,1112.5609,2127.525,4869.8466,7779.43,3660.01647,3378.66045,690.0046
FADD,899.7613,793.5006,956.5294,789.6806,607.342,649.2106,846.0563,925.7593,715.3571,783.0533,956.5294,796.62505,791.5906,607.342
MTMR1,1834.5267,1035.7877,810.6756,1904.6683,1546.4684,1613.4001,340.7066,1134.9831,992.8571,970.7816,1904.6683,1218.48552,1085.3854,340.7066
SUCLG1,1531.8218,1519.9506,1594.7809,1410.3194,1744.4238,1168.6561,3580.2742,1586.0517,1301.0714,1382.0307,3580.2742,1681.93806,1525.8862,1168.6561
IL1RL1,0.3978,0.8227,3.9573,0.9828,0,0.7701,0,0.375,1.7857,0,3.9573,0.90914,0.58395,0
NOLC1,2694.9085,3402.3036,2954.9521,2108.5995,4539.0335,4522.1409,1396.1356,7027.7465,7690,3487.9474,7690,3982.37676,3445.1255,1396.1356
AIM2,3093.8743,2481.6948,589.6336,1908.5995,3956.3197,1154.0239,3605.0183,6253.8433,1181.4286,2699.0504,6253.8433,2692.34864,2590.3726,589.6336
TMEM59,2635.2426,1983.5459,3225.1773,2035.3808,1091.0781,2479.3993,3093.9584,1557.5553,1598.2143,2815.1936,3225.1773,2251.47456,2257.39005,1091.0781
EI24,859.5863,1447.1411,2175.9347,1711.0565,2170.539,1415.8645,1468.4644,2212.5984,1407.1429,2037.2535,2212.5984,1690.55813,1589.76045,859.5863
GDA,0.3978,10.2838,0,72.2359,9.7584,1.5402,0,0,1.0714,49.6713,72.2359,14.49588,1.3058,0
ARHGAP32,86.7144,79.8026,16.9597,143.9803,269.9814,213.3231,138.9474,237.7203,28.2143,149.7443,269.9814,136.53878,141.46385,16.9597
