Gene,TCGA-EL-A3ZG-01A-11R-A23N-07,TCGA-EL-A3ZG-11A-13R-A23N-07,TCGA-DJ-A3VL-01A-11R-A23N-07,TCGA-ET-A40S-01A-11R-A23N-07,TCGA-EL-A3ZN-01A-11R-A23N-07,TCGA-E8-A436-01A-12R-A23W-07,TCGA-FY-A40L-01A-11R-A23N-07,TCGA-EL-A3ZR-11A-11R-A23N-07,TCGA-EL-A3ZR-01A-11R-A23N-07,TCGA-EL-A3ZP-11A-11R-A23N-07,TCGA-EL-A3ZP-01A-11R-A23N-07,TCGA-EL-A3ZQ-01A-11R-A23N-07,TCGA-EL-A3ZQ-11A-11R-A23N-07,TCGA-EL-A3ZO-11A-12R-A23N-07,TCGA-EL-A3ZO-01A-11R-A23N-07,MAX,AVG,MED,MIN
AAK1,1407.8247,3001.2484,1313.0755,1756.5965,1177.381,1530.9581,1133.7891,2647.5874,1302.1352,5346.5427,1147.4435,1090.4376,2681.935,2267.184,756.8811,5346.5427,1904.06798666667,1407.8247,756.8811
ACACB,335.5197,1119.226,681.3996,394.2811,804.7619,406.4338,382.1615,1803.9933,784.6975,1508.7325,369.0052,431.1183,1953.4611,1745.7502,220.8528,1953.4611,862.759633333334,681.3996,220.8528
ACTR3B,164.8275,129.8377,98.0663,97.1754,134.127,143.203,173.1771,136.772,164.0569,125.0128,110.1863,136.7909,118.6229,136.7332,173.8559,173.8559,136.162993333333,136.7332,97.1754
ADAT3,52.7819,119.226,98.0663,79.0422,109.5238,30.7852,14.6484,69.5507,63.3452,75.9882,94.3321,180.2269,34.6473,107.9084,112.0697,180.2269,82.8094866666666,79.0422,14.6484
ADH4,0,0,0,27.4323,0,0.3459,0,2.3295,0,0,0,0,2.0553,0,0,27.4323,2.1442,0,0
AMZ1,0.6173,3.1211,0.4604,0.9299,8.3333,6.918,6.8359,10.9817,1.0676,6.9452,6.738,3.2415,2.0553,6.6519,2.9579,10.9817,4.52366666666667,3.2415,0.4604
AP1S1,1103.1715,817.1036,700.2762,815.9944,639.6825,1059.1491,1004.2318,529.4509,855.516,458.3801,937.3761,996.4344,552.0076,523.6511,1725.4129,1725.4129,847.85588,817.1036,458.3801
AQP4,30.2492,1006.8664,331.4917,735.5574,442.4603,169.8374,167.3177,1637.2712,1762.6335,645.0822,290.1308,7.7796,978.0518,781.5965,204.749,1762.6335,612.738313333333,442.4603,7.7796
ARHGAP11B,8.3432,0.6242,0.5157,3.7196,2.4524,5.9633,6.709,8.3361,6.4128,23.2867,1.5854,0,8.2273,6.2823,5.6199,23.2867,5.87186,5.9633,0
ARMC2,47.2259,68.04,34.5304,50.68,70.6349,41.1622,39.7135,86.8552,41.637,75.9882,47.9588,26.5802,118.9165,109.3865,32.5364,118.9165,59.45638,47.9588,26.5802
ASPHD1,149.7029,0.6242,3.6832,105.5446,9.5238,47.0425,109.375,4.3261,12.4555,2.4512,21.0067,85.5754,1.4681,2.5868,854.8188,854.8188,94.01232,12.4555,0.6242
ATP12A,0,1.2484,1.8416,8656.5152,5.1587,1.7295,0.3255,1.3311,0.7117,2.0427,42.4098,0,3.2298,1.1086,39.438,8656.5152,583.80604,1.7295,0
B4GALNT3,438.3054,31.211,24.4015,226.4326,148.4127,790.384,510.0911,96.8386,116.0142,96.4151,263.9715,11.0211,138.2955,115.6689,230.3837,790.384,215.85646,138.2955,11.0211
B4GALNT4,0.926,4.9938,0.9208,48.8202,5.5556,1.7295,1.3021,5.3245,0,4.0854,3.1708,5.8347,42.2814,5.9128,3.2865,48.8202,8.94294,4.0854,0
BCL11A,22.5326,152.9338,79.6501,71.6029,43.6508,82.6704,32.8776,149.0849,85.4093,274.9464,86.4051,77.1475,103.9419,48.7805,68.6879,274.9464,92.0214466666667,79.6501,22.5326
BCL7C,1465.2365,1704.1199,1512.4309,1101.9412,1575.3968,993.082,996.4193,774.03,851.2456,572.7464,1515.656,9371.7925,800.1174,1005.9128,2191.7673,9371.7925,1762.12630666667,1101.9412,572.7464
BRAF,198.1634,131.7104,136.2799,100.4301,108.3333,177.1013,220.3776,230.6156,115.3025,200.1838,123.6623,60.94,239.0076,206.578,86.435,239.0076,155.67472,136.2799,60.94
C8orf34,4.9387,1.8727,0.9208,3.2547,1.9841,4.1508,7.8125,19.6339,2.847,4.9025,3.9635,3.2415,3.5235,5.1737,0.6573,19.6339,4.59181333333333,3.5235,0.6573
C9orf135,0.3087,0,0,17.2033,0,1.0377,0,0.6656,0,0.4085,4.7562,0,3.5235,2.2173,0.3287,17.2033,2.02996666666667,0.3287,0
C9orf163,20.0633,28.7141,24.4015,27.4323,40.4762,22.4836,15.2995,17.6373,35.2313,22.4696,36.0682,11.6694,33.7664,29.5639,7.559,40.4762,24.8557066666667,24.4015,7.559
C9orf40,108.3417,66.1673,72.744,57.1894,101.1905,75.0605,83.3333,81.5308,113.1673,71.9028,65.3983,89.4652,72.2308,95.7132,49.6262,113.1673,80.2040866666667,75.0605,49.6262
C9orf57,0,0,0,0,0,0,0,0,0,0,0,1.9449,0,0,0,1.9449,0.12966,0,0
CA10,0,1.2484,0,262.6991,0.7937,2.4213,1.3021,4.6589,0.3559,0.4085,0.3964,0,1.4681,1.4782,0,262.6991,18.48204,0.7937,0
CAB39L,174.7048,636.0799,210.4052,130.6521,339.2857,267.7274,247.3958,477.2047,208.8968,349.3004,152.5961,608.752,467.7384,763.4885,204.4203,763.4885,349.243206666667,267.7274,130.6521
CAPN8,1.852,0.6242,3.2228,3.7196,1.9841,79.9031,34.1797,3.6606,0.3559,2.4512,7.5307,33.7115,3.2298,1.4782,534.385,534.385,47.4858933333333,3.2298,0.3559
CARD18,0,0,0,0,0,0,0,0,0,0,4.3599,0,0,0,0,4.3599,0.29066,0,0
CCDC107,427.4867,740.2622,988.0617,550.5103,622.2024,291.5704,356.6146,253.0815,514.5231,330.4177,490.8958,1842.0875,341.4696,446.4523,518.3732,1842.0875,580.933933333333,490.8958,253.0815
CCL1,0,0,0,14.4136,0,3.1131,0,0,0,0.4085,0.3964,0,0,0,1.3146,14.4136,1.30974666666667,0,0
CCL17,0.926,0.6242,5.5249,292.4561,55.1587,177.7932,84.9609,4.6589,2.1352,24.1038,26.5557,437.6013,5.8724,9.9778,1632.0762,1632.0762,184.028353333333,24.1038,0.6242
CHST8,1.2347,10.6117,5.9853,7.4393,10.7143,2.0754,2.9297,3.3278,1.7794,15.5245,5.5489,68.0713,5.8724,7.0214,3.9438,68.0713,10.13866,5.8724,1.2347
CNTN4,220.3874,254.6816,195.6722,538.8818,553.9683,286.752,403.6458,569.3844,220.6406,592.3808,430.44,172.4473,806.8707,899.4826,361.1864,899.4826,433.788126666667,403.6458,172.4473
COL21A1,181.1868,33.7079,26.2431,224.5728,58.3333,43.2376,49.4792,106.4892,8.1851,68.2259,278.6365,16.2075,48.4475,58.7583,170.2407,278.6365,91.4634266666667,58.3333,8.1851
COL26A1,6.1733,1.2484,2.302,68.3483,15.873,11.0688,10.4167,1.9967,1.0676,20.0184,19.8177,46.6775,1.4681,4.4346,266.8639,266.8639,31.8516666666667,10.4167,1.0676
CRCT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1039,16.1039,1.07359333333333,0,0
CREB3L3,0,0,0,1.8598,0,0.6918,0,0.3328,0,0,0.7927,0,0,0,0.3287,1.8598,0.267053333333333,0,0
CRYM,0,1.8727,0,228.7574,0.3968,1.7295,0.651,1.9967,0.3559,3.6768,3.1708,0,13.5066,1.8477,5.9157,228.7574,17.59184,1.8477,0
CSNK2B,3939.8102,3615.4744,3855.4282,2444.8774,2881.3492,2747.5406,2765.2995,1990.7121,2486.2705,1842.5289,3298.5256,6486.872,2499.3526,2338.204,3643.4147,6486.872,3122.37732666667,2765.2995,1842.5289
CTNNA1,9973.6091,8572.4095,7300.6446,10165.7561,8036.5079,11664.476,10007.8125,6559.7338,6504.2705,8170.3605,10610.7808,6914.7488,7994.4212,7559.867,11551.064,11664.476,8772.43082,8170.3605,6504.2705
CYTH1,1035.2651,1435.7054,1322.744,1542.2527,1452.7778,1564.1646,1213.5417,1547.7537,1638.0783,2342.151,1725.7233,1211.0211,1841.5914,1325.9424,934.3521,2342.151,1475.53764,1452.7778,934.3521
DBNL,2220.233,2564.2946,2271.1786,2171.3356,1775,2325.4929,2045.2474,1669.8835,1869.7509,2299.663,2333.3333,4428.5251,1857.7406,1780.8574,2977.241,4428.5251,2305.98512666667,2220.233,1669.8835
DBT,618.8749,664.794,694.7514,588.6319,453.1746,627.4645,576.8229,846.2562,777.5801,910.6322,539.4372,420.7455,709.3885,733.9246,385.5065,910.6322,636.532333333333,627.4645,385.5065
DDR1,10301.7208,6883.2709,5800.1842,8492.3864,8744.0476,12536.1467,12660.4818,6469.5507,6744.1281,6370.7486,10802.2196,5024.3112,6089.114,6168.1449,8102.5388,12660.4818,8079.26628666667,6883.2709,5024.3112
DGKH,14.1986,4.3695,6.4457,6.9743,28.5714,42.8917,33.8542,39.2679,9.2527,32.2745,23.3849,8.4279,20.5535,35.4767,14.4606,42.8917,21.3602733333333,20.5535,4.3695
DKK1,3.0867,3.1211,15.1934,49.7501,4.3651,5.1885,3.2552,1.3311,240.9253,6.1281,1.9818,0,2.9362,1.4782,8.2163,240.9253,23.1304733333333,3.2552,0
DMRTA2,0.6173,0,0.4604,0.465,1.5873,0.3459,0.651,0.6656,0,0.4085,0.3964,0.6483,1.1745,0,0.6573,1.5873,0.5385,0.465,0
DNAAF3,20.0633,72.4095,111.8785,120.4231,151.1905,40.1245,28.3203,76.8719,67.6157,87.0187,125.2477,105.0243,84.5629,77.9749,71.6457,151.1905,82.6914333333333,77.9749,20.0633
DPEP1,2.1607,0,75.046,17.6683,3.5714,4.8426,1.6276,11.98,0.7117,3.6768,25.763,101.7828,5.8724,2.5868,11.1741,101.7828,17.8976133333333,4.8426,0
DUOXA1,1151.1073,1220.9426,7037.8223,1853.5395,2534.4008,1828.7997,1345.472,1486.3095,3442.6726,1325.454,1680.5668,2003.799,2061.1671,1616.7406,647.5129,7037.8223,2082.42044666667,1680.5668,647.5129
EGFR,536.4581,182.2722,133.5175,376.1479,521.4087,752.6738,681.3053,1308.4559,299.6441,644.6696,485.5252,319.611,1016.2167,948.6105,402.5898,1308.4559,573.94042,521.4087,133.5175
EIF2S3,3874.6817,2743.4457,3091.1602,3422.992,2735.7143,3824.9741,3997.0703,3838.9351,3760.1423,2559.902,2586.9996,4732.577,3961.5356,3164.0798,3745.6248,4732.577,3469.3223,3745.6248,2559.902
EIF4G3,2281.0402,1959.4257,1812.1547,2201.5576,2346.4286,2083.7081,2515.9505,2588.6855,2141.9929,3107.752,2050.7333,1059.9676,2818.7624,3037.694,1358.3107,3107.752,2224.27758666667,2201.5576,1059.9676
EPS8,5248.8618,480.6492,2030.3867,2508.8922,2511.1111,2818.4019,3832.6823,761.3977,1962.6335,716.985,1628.6167,1926.7423,854.4373,966.7406,1331.0328,5248.8618,1971.97140666667,1926.7423,480.6492
EXTL1,3.3953,4.9938,4.6041,2.3248,13.8889,6.5721,8.138,4.9917,6.0498,11.0305,6.738,192.5446,4.1107,8.8692,9.8595,192.5446,19.2074,6.5721,2.3248
FAHD1,1024.1531,664.1698,520.2578,812.7258,384.127,704.9325,652.3438,350.7488,484.6975,460.7783,635.7432,639.222,372.0179,474.8707,859.0913,1024.1531,602.658633333333,635.7432,350.7488
FAM219A,371.6336,273.4082,378.453,505.4051,396.8254,341.4044,323.5677,356.406,459.4306,439.1788,521.9976,161.4263,404.3162,333.3333,312.8749,521.9976,371.977406666667,371.6336,161.4263
FAM83D,35.8052,1.8727,6.9061,198.5354,8.7302,8.6475,17.5781,19.6339,30.2491,48.6161,19.4213,3.2415,17.03,24.3902,27.6066,198.5354,31.2175933333333,19.4213,1.8727
FGFR1,954.3946,538.0774,1442.4494,1032.1981,1431.746,1042.5458,899.4141,1428.619,1741.9929,1096.1087,405.4697,350.081,1792.5567,1528.4553,1343.1928,1792.5567,1135.15343333333,1096.1087,350.081
FGFR2,880.0062,2217.2285,1097.6059,466.3489,767.8571,1163.2653,654.9479,4140.0998,665.8363,2610.5607,661.5141,766.2885,3341.4079,2888.3962,495.6043,4140.0998,1521.13117333333,880.0062,466.3489
FGFR3,24.6933,32.4594,37.7532,44.6356,141.6667,58.4573,101.888,80.1997,41.9929,64.1405,43.5989,92.0583,63.1285,91.2786,42.7245,141.6667,64.0450266666667,58.4573,24.6933
FGFR4,23.1499,21.2235,5.0645,14.8785,24.6032,7.2639,14.6484,20.2995,12.8114,17.1586,7.5307,20.0972,27.0131,21.8034,2.9579,27.0131,16.03358,17.1586,2.9579
FLOT2,2317.1541,1578.6517,2593.4622,3424.8518,2044.0476,2530.2663,2343.4245,1606.6556,3259.7865,2297.6203,2912.0095,3808.1037,1924.6862,1440.8721,2858.2697,3808.1037,2462.65745333333,2343.4245,1440.8721
FLT1,2833.552,1022.4719,4389.0424,1204.696,5590.0794,765.4791,1495.1172,2182.3627,3606.4057,2314.3703,2115.7352,806.483,2186.3026,2946.0458,481.4724,5590.0794,2262.64104666667,2182.3627,481.4724
FLT3,1.2347,2.4969,20.2578,9.2991,1.5873,8.3016,4.8828,2.995,0.3559,107.0371,5.9453,2.5932,9.1023,4.065,16.4325,107.0371,13.1057666666667,4.8828,0.3559
FLT4,668.8788,637.9526,482.965,464.4891,1095.6349,351.4355,251.6276,912.812,755.8719,1215.8104,1058.264,269.6921,787.1981,832.2247,164.6537,1215.8104,663.300693333334,668.8788,164.6537
FN1,76341.693,1990.6367,3543.2781,37640.823,91744.8413,972243.8672,788433.2682,5988.3527,1833.0961,7435.8084,231384.5739,132362.3987,4457.168,5626.3858,1360058.8284,1360058.8284,248072.334633333,37640.823,1833.0961
FNDC5,7.408,38.0774,128.9134,2205.7422,51.5873,64.6835,57.6172,59.2346,106.0498,102.1346,48.7515,38.2496,83.682,78.714,51.9267,2205.7422,208.184786666667,59.2346,7.408
FST,6.1733,11.8602,1.3812,2904.5682,9.5238,7.9557,7.8125,21.2978,2.1352,33.5002,19.4213,13.6143,33.7664,26.238,36.8088,2904.5682,209.07046,13.6143,1.3812
GAK,2123.0033,1694.1323,2246.3168,1837.4985,2035.3175,2187.1325,1969.7266,1692.5125,2365.1246,1887.0391,2332.1443,2137.4392,1777.2884,1627.4945,2557.2262,2557.2262,2031.29308666667,2035.3175,1627.4945
GBA,2199.2438,1405.7428,1411.6022,1979.7745,1050,1695.6071,2361.9792,1857.9035,1769.0391,1485.0373,1168.4503,1923.5008,1712.1045,1488.544,2665.0234,2665.0234,1744.9035,1712.1045,1050
GLTPD2,0,1.5169,0.7551,0,0.5159,0,0,2.6822,5.4021,2.7821,0,0,0,2.3171,0.4798,5.4021,1.09674666666667,0.4798,0
GNAO1,496.9519,38.7016,19.337,248.7504,37.6984,560.0138,260.7422,171.0483,40.5694,196.0985,130.4003,67.423,115.9803,105.6911,830.8274,830.8274,221.348906666667,130.4003,19.337
GPI,5349.1782,4759.0512,3939.2265,4000,2163.4921,3737.4611,4460.612,1681.198,1822.7758,3064.4469,3636.5438,5341.329,3807.3846,3570.9534,5857.8588,5857.8588,3812.76742666667,3807.3846,1681.198
GRIN3A,4.9387,19.3508,12.4309,11.6239,18.254,7.9557,5.8594,41.2646,9.6085,28.1892,19.8177,11.6694,20.5535,8.8692,6.2444,41.2646,15.10866,11.6694,4.9387
GRM5,0.6173,0,0,136.2315,2.7778,12.4524,3.2552,0,0.7117,0,9.5125,8.4279,0.2936,0,4.6011,136.2315,11.9254,0.7117,0
GTF2H2,172.5442,141.0737,193.8306,190.1662,144.0476,44.6212,90.8203,26.9551,21.3523,144.6226,112.9608,58.9951,113.3377,67.2579,31.2218,193.8306,103.58714,112.9608,21.3523
HCAR1,8.334,21.8789,9.6685,22.7828,19.0476,40.4704,14.6484,59.2346,7.4733,107.1024,91.1613,1.9449,75.4606,45.8241,17.4185,107.1024,36.1633533333333,21.8789,1.9449
HDC,0.3087,1.2484,2.302,279.9024,9.127,2.0754,0.9766,3.3278,0.3559,6.1281,5.9453,5.8347,3.5235,0.3695,3.9438,279.9024,21.6912733333333,3.3278,0.3087
HECA,518.5585,890.1373,670.3499,556.55,645.2381,611.2072,497.3958,843.594,445.5516,1020.9376,600.4756,352.0259,911.3998,831.116,516.6379,1020.9376,660.745013333333,611.2072,352.0259
HHATL,386.7582,136.7041,2775.3223,997.3265,2272.619,430.3009,963.5417,824.6256,2606.0498,664.6921,399.5244,1181.8476,1077.883,860.3104,1298.4964,2775.3223,1125.0668,963.5417,136.7041
HIBCH,938.6527,747.8152,1071.8232,729.513,758.3333,496.368,1138.6719,986.6889,1642.3488,623.4297,585.8105,764.3436,1002.1288,931.6334,938.2959,1642.3488,890.39046,931.6334,496.368
HMX2,0,0,0,0,0,0.3459,0,0,0,0,0,0,0,0,0,0.3459,0.02306,0,0
HOXB1,0,0,0,0,0.7937,0,0,0,0,0,0,0,0,0,0,0.7937,0.052913333333333,0,0
HOXC13,0,0,0,0,0,0,0,0,0,0,9.5125,0,0.2936,0,0,9.5125,0.65374,0,0
HOXD12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HP,0.926,0,206.2615,30044.8681,79.3651,3.8049,2.9297,5.99,97.5089,1.6342,5.9453,106.9692,9.9831,2.2173,83.1485,30044.8681,2043.43678666667,5.99,0
HPR,0,0,0.9208,157.1545,0.3968,0.3459,0.3255,0.3328,0,0,0,0,0.2936,1.8477,0,157.1545,10.7745066666667,0.2936,0
HS3ST5,0.3087,1.2484,0,109.7292,0,0.3459,0.3255,0,1.4235,2.4512,0.3964,0,1.1745,1.1086,0,109.7292,7.90079333333333,0.3459,0
HS3ST6,0.3087,0.6242,0,0.465,1.9841,1.3836,0.9766,0.9983,0,0.4085,0.7927,0.6483,0.2936,1.4782,0.6573,1.9841,0.734606666666667,0.6483,0
HYDIN,88.2784,105.4931,106.814,323.608,220.2381,265.9979,260.4167,300.1664,109.6085,347.2577,296.4725,38.2496,381.7074,367.3319,44.0391,381.7074,217.045286666667,260.4167,38.2496
IFNA14,0,0,0,0.465,0,0,0,0,0,0,0,0,0,0,0,0.465,0.031,0,0
IFNA16,0,0,0,0,0,0,0,0,0,0,0,0.6483,0,0,0,0.6483,0.04322,0,0
IL31RA,0,0.6242,0,184.5868,0,1.0377,0.3255,0,0,0.4085,7.9271,0,0,0.3695,0.986,184.5868,13.0843533333333,0.3255,0
IL7,9.5686,14.3571,33.1492,412.4143,15.4762,45.313,33.2031,52.579,13.1673,72.3113,43.2025,12.966,40.5197,36.2158,36.1515,412.4143,58.03964,36.1515,9.5686
ILF3,4664.2488,4739.0762,4492.1731,5498.547,5401.1905,5886.5444,5152.0182,4737.1048,4963.3452,6021.0397,6234.2449,5365.9643,6012.1853,5420.1774,4555.09,6234.2449,5276.19665333333,5365.9643,4492.1731
INPPL1,1645.806,1912.6092,2274.8619,2099.2677,2140.4762,2249.7406,1660.1562,2699.1681,2876.8683,2498.2126,2288.149,1073.5818,2761.7999,2093.8655,1552.5429,2876.8683,2121.80706,2140.4762,1073.5818
IVL,0.6173,0,0,286.8767,19.0476,87.8589,125.651,2.3295,0.7117,0,425.6837,34.3598,0.2936,1.8477,4334.5658,4334.5658,354.65622,2.3295,0
JAK1,3659.233,1828.9638,3158.8398,2620.4812,2932.1429,4128.3293,3963.5417,2852.579,1964.7687,3963.2315,2910.8205,1989.6272,3107.6855,3044.3459,3118.8892,4128.3293,3016.23194666667,3044.3459,1828.9638
JAK2,180.5695,149.8127,221.4549,243.171,166.6667,291.2487,192.7083,316.1398,88.968,503.7279,269.1241,83.6305,292.153,319.66,178.457,503.7279,233.16614,221.4549,83.6305
KCNA10,0,0,0,0,0,1.3836,0,0,0,0,0,4.5381,0.2936,0,0,4.5381,0.414353333333333,0,0
KCTD16,1.852,131.7104,1.8416,4.1846,24.2063,27.3262,2.6042,118.802,0.3559,73.5369,7.1344,1.2966,112.4569,83.1486,1.3146,131.7104,39.4514133333333,7.1344,0.3559
KDR,1781.9276,553.6829,3818.14,3363.0129,2598.0159,751.2971,1237.6302,2281.5308,2747.331,1583.9036,1592.5486,397.4068,2063.8626,1650.037,488.7027,3818.14,1793.93531333333,1650.037,397.4068
KIT,72.5365,1806.4919,172.1915,261.7692,220.2381,496.0221,67.0573,3362.7288,86.8327,3095.9044,533.8882,29.8217,2134.038,2242.0547,40.7526,3362.7288,974.821846666667,261.7692,29.8217
KRT40,0,0,0,0,0,0,0,0.3328,0,0,0,0,0.2936,0.3695,0,0.3695,0.066393333333333,0,0
KRTAP19-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP4-3,0,0,0.4604,0,0,0,0,0,0,0,0,0,0,0,0,0.4604,0.030693333333333,0,0
LBP,0.3087,0.6242,0.4604,0.465,0,0.3459,0,1.3311,0,2.0427,0.7927,99.1896,3.5235,0,0.6573,99.1896,7.31607333333333,0.465,0
LBX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LCE1C,0.926,0,0,0,0,0.3459,0.3255,0,0,0.4085,0.7927,0.6483,0,0,3.2865,3.2865,0.448893333333333,0,0
LGR5,0,1.8727,0,728.5831,1.5873,2.4213,9.4401,8.3195,3.2028,2.0427,23.7812,0,0.8809,2.2173,8.2163,728.5831,52.83768,2.2173,0
LIM2,0,0,0,0,0,0,0,0,0,0,0,3.2415,0,0,0,3.2415,0.2161,0,0
LIMK1,1254.4178,463.7953,1270.2578,3046.8441,1185.7143,1855.0675,1367.513,628.9517,1197.8648,818.3025,2651.6052,1045.0567,742.5677,596.0828,2189.1381,3046.8441,1354.21195333333,1197.8648,463.7953
LRRCC1,275.6386,441.3233,279.4659,260.8392,230.5556,295.0536,378.2552,756.406,352.669,619.3443,296.4725,125.1216,582.2506,642.2764,206.7209,756.406,382.82618,296.4725,125.1216
LRRTM3,0,0,0,16.2734,0,0,0,0.6656,0,1.2256,0.3964,0,0,0.3695,0,16.2734,1.26203333333333,0,0
LYRM2,1276.2374,1419.5443,1083.5037,1155.9549,924.9881,1013.2549,1041.4648,1252.3694,1133.694,1320.5352,958.256,1253.4263,1366.6681,1284.5898,846.55,1419.5443,1155.40246,1155.9549,846.55
M6PR,3723.5558,2727.7216,2846.5516,2694.9576,2322.2024,3711.7572,4133.2552,3264.9351,2958.9822,3166.0219,2576.3575,3165.4327,3459.4935,3089.7894,2778.9763,4133.2552,3107.99933333333,3089.7894,2322.2024
MAN2A1,109.2677,59.3009,116.4825,328.2576,170.2381,353.8568,341.1458,859.2346,212.8114,661.4238,280.222,23.987,401.0864,435.6984,189.3024,859.2346,302.821026666667,280.222,23.987
MAP2K1,1069.0424,708.2147,914.1298,2092.9211,1123.496,998.5368,1043.61,790.2296,1395.0214,1055.1445,933.6266,384.9595,852.3027,846.7443,1396.6116,2092.9211,1040.30606666667,998.5368,384.9595
MAP2K2,2546.8015,2411.985,3398.2505,2744.624,2464.6825,2089.5884,1760.0911,1648.2529,2776.8683,1768.9715,2627.824,7201.9449,1890.6261,2023.2816,3481.0615,7201.9449,2722.32358666667,2464.6825,1648.2529
MED16,1151.9407,1473.1586,1318.6004,1340.4626,1042.8571,1477.3435,1043.9453,1184.6922,1325.6228,1205.597,1274.2767,3179.9028,1118.9899,1076.4967,1969.5999,3179.9028,1412.23241333333,1274.2767,1042.8571
MEGF9,4279.9599,902.6217,1876.151,2846.4489,1976.5873,3558.6302,5009.4401,1676.8719,2844.8399,1400.4698,2407.4514,1618.8006,1948.7631,1866.2232,1015.5287,5009.4401,2348.58584666667,1948.7631,902.6217
